File,Key,Context,English,Afrikaans,Arabic,Catalan,"Chinese Simplified","Chinese Traditional",Czech,Danish,Dutch,English,Finnish,French,German,Greek,Hebrew,Hungarian,Indonesian,Italian,Japanese,Korean,Norwegian,OwO,"Pirate English",Polish,Portuguese,"Portuguese, Brazilian",Romanian,Russian,"Serbian (Cyrillic)",Spanish,Swedish,Turkish,Ukrainian,Vietnamese
en-us.json,"""error.notAFloat"""," -> error.notAFloat","Not a Float","Not a Float","Not a Float","Not a Float",不是浮点值,不是浮點數,"Not a Float","Not a Float","Niet een Float","Not a Float","Not a Float","Pas une valeur Float","Keine Gleitkommazahl","Not a Float","Not a Float","Not a Float","Bukan Float","Non un numero virgola mobile","Not a Float","Not a Float","Not a Float","Uh Oh! Not an Fwoat >n<","Not a Float","Not a Float","Not a Float","Not a Float","Not a Float","Не число с плавающей запятой","Not a Float","No es un Decimal","Inte ett Float värde","Ondalıklı sayı değil","Not a Float","Not a Float"
en-us.json,"""error.improperTabValue"""," -> error.improperTabValue","Improper tab value","Improper tab value","Improper tab value","Improper tab value",标签值不正确,分頁數值不正確,"Improper tab value","Improper tab value","Onjuiste waarde van tab","Improper tab value","Improper tab value",,"Unzulässiger Tab-Wert","Improper tab value","Improper tab value","Improper tab value","Tab value tidak sesuai","Valore scheda improprio","Improper tab value","Improper tab value","Improper tab value","iwmpwopper tab walue","Improper tab value","Improper tab value","Improper tab value","Improper tab value","Improper tab value","Недопустимое значение вкладки","Improper tab value","Valor de pestaña incorrecto","Felaktigt tabb- värde","Yanlış boşluk değeri","Improper tab value","Improper tab value"
en-us.json,"""error.frame"""," -> error.frame","Problem while getting frame","Problem while getting frame","Problem while getting frame","Problem while getting frame",获取帧时出现问题,取得畫面時發生問題,"Problem while getting frame","Problem while getting frame","Probleem bij het verkrijgen van beeld","Problem while getting frame","Problem while getting frame","Problème lors de récupération des images","Problem beim Abrufen des Bildes","Problem while getting frame","Problem while getting frame","Problem while getting frame","Masalah saat mendapatkan frame","Problema durante l'acquisizione del fotogramma","Problem while getting frame","Problem while getting frame","Problem while getting frame","Pwobwem while getting fwame >3<","Problem while getting frame","Problem while getting frame","Problem while getting frame","Problem while getting frame","Problem while getting frame","Проблема при получении кадра","Problem while getting frame","Problema al obtener fotogramas","Problem vid avläsning","Görüntü alıken bir problem yaşandı","Problem while getting frame","Problem while getting frame"
en-us.json,"""error.size"""," -> error.size","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes",要显示的帧大小不相等,顯示畫面大小不一致,"Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Formaat van de frames voor weergave zijn ongelijk","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","La taille des images à afficher est inégale","Die Größe der anzuzeigenden Frames ist ungleich","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Ukuran bingkai untuk menampilkan gambar tidak setara","Le dimensioni dei fotogrammi da visualizzare sono di dimensioni diverse","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of fwames to dispway awe of uneqwuaw sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes","Размеры отображаемых кадров не равны","Size of frames to display are of unequal sizes","Los tamaños de los fotogramas para mostrar son de dimensiones desiguales","Bildrutornas storlek till displayen är ojämna","Gösterilecek görüntülerin boyutları birbirine eşit değil","Size of frames to display are of unequal sizes","Size of frames to display are of unequal sizes"
en-us.json,"""error.capture"""," -> error.capture","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected",检测到帧捕获问题,偵測到畫面擷取問題,"Frame capture issue detected","Frame capture issue detected","Probleem met frame opname gedetecteerd","Frame capture issue detected","Frame capture issue detected",,"Problem bei der Bilderfassung erkannt","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Terdeteksi masalah pada frame capture","Rilevato problema nella cattura del fotogramma","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Fwame captuwe issue detecwed ;n;","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Frame capture issue detected","Обнаружена проблема захвата кадров","Frame capture issue detected","Detectado problema en la captura de fotogramas","Problem med bildrutsavläsningen har upptäckts","Görüntü yakalama sorunu algılandı","Frame capture issue detected","Frame capture issue detected"
en-us.json,"""warn.frameDrop"""," -> warn.frameDrop","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG",丢弃帧：损坏的JPEG,"畫面遺失，JPEG 檔案損毀","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Framedaling. Corrupte JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Perte d'image. JPEG corrompu","Frame-Drop. Beschädigtes JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. JPEG korup","Fotogramma perso. JPEG corrotto","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Fwame dwop. Cowwupted JPEG >.<","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG","Пропуск кадра. Поврежденный JPEG","Frame drop. Corrupted JPEG","Pérdida de fotogramas. JPEG dañado","Bildrutor tappas. Korrupt JPEG","Görüntü paketi düştü. Bozuk JPEG","Frame drop. Corrupted JPEG","Frame drop. Corrupted JPEG"
en-us.json,"""warn.captureProblem"""," -> warn.captureProblem","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect",捕获源问题，假设相机已断开连接，正在等待重新连接,擷取來源問題，假設攝影機已斷線，等待重新連線,"Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Probleem met opnamebron, verwacht losgekoppelde camera, wachten op nieuwe verbinding","Capture source problem, assuming camera disconnected, waiting to reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Problème de source de capture, la caméra doit être déconnectée ou en attente de reconnexion","Problem mit der Aufnahmequelle. Kamera wurde getrennt, warte auf erneute Verbindung","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Masalah sumber rekaman, perkiraan koneksi kamera terputus, menunggu koneksi ulang","Problema di acquisizione sorgente, supponendo che la telecamera sia disconnessa, in attesa di riconnessione","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Captuwe souwce pwobwem, assuwming camewa disconnetwed, waiting fow weconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect","Проблема с источником захвата, предполагается отключение камеры, ожидается повторное подключение","Capture source problem, assuming camera disconnected, waiting for reconnect","Problema con la fuente de captura, se asume que la cámara está desconectada, esperando reconexión","Problem med bildkälla, Antar att kameran är frånkopplad, Inväntar återkoppling","Yakalama kaynağında bir problem oluştu, kameranın bağlantısının koptuğu varsayılıyor, yeniden bağlantı için bekleniyor","Capture source problem, assuming camera disconnected, waiting for reconnect","Capture source problem, assuming camera disconnected, waiting for reconnect"
en-us.json,"""warn.serialCapture"""," -> warn.serialCapture","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect",串行捕获源问题，假设相机已断开连接，正在等待重新连接,序列埠擷取來源問題，假設攝影機已斷線，等待重新連線,"Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Probleem met serieel opname bron, verwacht losgekoppelde camera, wachten op nieuwe verbinding","Serial capture source problem, assuming camera disconnected, waiting to reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect",,"Problem mit der seriellen Aufnahmequelle. Kamera wurde getrennt, warte auf erneute Verbindung","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Masalah sumber serial rekaman, perkiraan koneksi kamera terputus, menunggu koneksi ulang","Problema di acquisizione da sorgente seriale, supponendo che la telecamera sia disconnessa, in attesa di riconnessione","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","sewiaw captuwe sawse pwoblem, asswuming camewa diwsconnected, waiting fow weconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Проблема с последовательным источником захвата, предполагается отключение камеры, ожидается повторное подключение","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Problema con la fuente de captura en serie, se asume que la cámara está desconectada, esperando reconexión","Problem med serial avbildningskälla, Antar att kameran är frånkopplad, inväntar återkoppling","Seri port yakalama kaynağında bir sorun oluştu, kameranın bağlantısının koptuğu varsayılıyor, yeniden bağlantı için bekleniyor","Serial capture source problem, assuming camera disconnected, waiting for reconnect","Serial capture source problem, assuming camera disconnected, waiting for reconnect"
en-us.json,"""warn.backpressure1"""," -> warn.backpressure1","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF",捕获队列背压,擷取佇列壓力為,"CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","OPNAME WACHTRIJ ACHTERDRUK VAN","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","La queue est saturée","Aufnahmewarteschlange Rückstau von","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","REKAM ANTRIAN BACKPRESSURE DARI","CONTROPRESSIONE DELLA CODA DI CATTURA DI","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTUWE QUEW BACKPWESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF",,"CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF","НАГРУЗКА НА ОЧЕРЕДЬ ЗАХВАТА","CAPTURE QUEUE BACKPRESSURE OF","PRESIÓN EN LA COLA DE CAPTURA DE","ÖVERTRYCK PÅ AVBILDNINGS KÖ","YAKALAMA KUYRUĞU BASKISI GÖSTERİLEN","CAPTURE QUEUE BACKPRESSURE OF","CAPTURE QUEUE BACKPRESSURE OF"
en-us.json,"""warn.backpressure2"""," -> warn.backpressure2","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM",检查算法中的崩溃或计时问题,請檢查演算法是否當機或計時問題,"CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CONTROLEER OP CRASH OF PROBLEMEN MET TIMING IN HET ALGORITME","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","Vérifiez les crashs ou les erreurs de timing de l'algorithme","Überprüfe auf Absturz oder Timingprobleme im Algorithmus","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","PERIKSA MASALAH CRASH ATAU MASALAH WAKTU PADA ALGORITMA","CONTROLLANDO PER CRASH O PROBLEMI DI TIMING NELL'ALGORITMO","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECL FOW CWASH OW TIMING ISSUWS IN THE AWGOWITHM!!","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","ПРОВЕРЬТЕ НА НАЛИЧИЕ СБОЕВ ИЛИ ПРОБЛЕМ С ТАЙМИНГАМИ В АЛГОРИТМЕ","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","COMPRUEBA POSIBLES PROBLEMAS DE CRASH O TIMING EN EL ALGORITMO","UNDERSÖK KRASCH ELLER TIMING PROBLEM I ALGORITMEN","ALGORİTMADAKİ ZAMANLAMA VE ÇÖKME SORUNLARINI KONTROL ET","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM","CHECK FOR CRASH OR TIMING ISSUES IN ALGORITHM"
en-us.json,"""warn.oneEuroValues"""," -> warn.oneEuroValues","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number",OneEuroFilter值必须是合法数字,"OneEuro 過濾器的數值必須是有效數字","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","Waarde van OneEuroFilter moet een legaal nummer zijn","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","Les valeurs OneEuroFilter doivent être des nombres légaux","Ein Euro Filter Werte müssen eine gültige Zahl sein","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","Nilai OneEuroFilter harus terdiri dari nomor legal","I valori OneEuroFilter devono essere un numero valido","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuwoFiwtew values must be a wegaw numbew","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number","Значения OneEuroFilter должны быть допустимыми числами","OneEuroFilter values must be a legal number","Los valores de OneEuroFilter deben ser un número válido","OneEuroFilter värden måste vara inom omfånget","OneEuroFilter değeri geçerli bir sayı olmalıdır","OneEuroFilter values must be a legal number","OneEuroFilter values must be a legal number"
en-us.json,"""info.moveToTrackingMode"""," -> info.moveToTrackingMode","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode",切换到设置模式,切換至追蹤模式,"Moving to tracking mode","Moving to tracking mode","Overstappen op tracking modus","Changing to tracking mode","Moving to tracking mode","Changement vers le mode de suivi","Wechsel zu Tracking Modus","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","Berpindah ke mode pelacak","Cambio in modalità tracciamento","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","meowing to twacking mode","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","Moving to tracking mode","Переход в режим отслеживания","Moving to tracking mode","Cambiando a modo de seguimiento","Byter till spårningsläge","Takip moduna geçiliyor","Moving to tracking mode","Moving to tracking mode"
en-us.json,"""info.moveToROIMode"""," -> info.moveToROIMode","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode",切换至设置关注区模式,"切換至 ROI 模式","Moving to ROI mode","Moving to ROI mode","Overstappen op ROI modus","Changing to ROI mode","Moving to ROI mode","Changement vers le mode ROI","Wechsel zu ROI Modus","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","Pindah ke mode ROI","Cambio in modalità ROI","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","MoWoing to ROI mode ^.^","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","Moving to ROI mode","Переход в режим ROI","Moving to ROI mode","Cambiando a modo de ROI","Byter till ROI läge","ROI moduna geçiliyor","Moving to ROI mode","Moving to ROI mode"
en-us.json,"""info.setROI"""," -> info.setROI","Set ROI","Set ROI","Set ROI","Set ROI",设置关注区,"設定 ROI","Set ROI","Set ROI","Stel ROI in","Set ROI","Set ROI","Attribuer le ROI","Setze ROI","Set ROI","Set ROI","Set ROI","Tentukan ROI","Imposta ROI","Set ROI","Set ROI","Set ROI","Set ROI ^3^","Set ROI","Set ROI","Set ROI","Set ROI","Set ROI","Установить ROI","Set ROI","Establecer ROI","Ställ ROI","ROI'ı ayarla","Set ROI","Set ROI"
en-us.json,"""info.enabled"""," -> info.enabled",Enabled,Enabled,Enabled,Enabled,已开启,已啟用,Enabled,Enabled,"Schakel In",Enabled,Enabled,Activer,Aktiviert,Enabled,Enabled,Enabled,Diaktifkan,Abilitato,Enabled,Enabled,Enabled,enyable,Enabled,Aktywne,Enabled,Enabled,Enabled,Включено,Enabled,Habilitado,På,Etkin,Enabled,Enabled
en-us.json,"""info.disabled"""," -> info.disabled",Disabled,Disabled,Disabled,Disabled,已关闭,已停用,Disabled,Disabled,"Schakel Uit",Disabled,Disabled,Désactiver,Deaktiviert,Disabled,Disabled,Disabled,Dimatikan,Disabilitato,Disabled,Disabled,Disabled,dysabywe,Disabled,Nieaktywne,Disabled,Disabled,Disabled,Отключено,Disabled,Deshabilitado,Av,"Devre Dışı",Disabled,Disabled
en-us.json,"""info.newValue"""," -> info.newValue","New value","New value","New value","New value",新值,新數值,"New value","New value","Nieuwe waarde","New value","New value","Nouvelle valeur","Neuer Wert","New value","New value","New value","Nilai baru","Nuovo valore","New value","New value","New value","new walue","New value","Nowa wartość","New value","New value","New value","Новое значение","New value","Nuevo valor","Nytt värde","Yeni değer","New value","New value"
en-us.json,"""info.discardingSerial"""," -> info.discardingSerial","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer",废弃串行缓冲,清除序列埠緩衝區,"Discarding the serial buffer","Discarding the serial buffer","Seriële buffer weggooien","Discarding the serial buffer","Discarding the serial buffer","Effacement du tampon","Verwerfe seriellen Puffer","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Membuang buffer serial","Scartando il buffer seriale","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Discawding daw sewrial buwfer","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Discarding the serial buffer","Сбрасывается последовательный буфер","Discarding the serial buffer","Descartando el búfer de serie","Kasserar serial buffer","Seri port arabelleği esgeçiliyor","Discarding the serial buffer","Discarding the serial buffer"
en-us.json,"""info.refreshedCameraList"""," -> info.refreshedCameraList","Refreshed Camera List","Refreshed Camera List","Refreshed Camera List","Refreshed Camera List",刷新相机列表,已重新整理攝影機清單,"Refreshed Camera List","Refreshed Camera List","Camera Lijst Ververst","Refreshed Camera List","Refreshed Camera List","Liste de caméra actualisée","Kameraliste aktualisiert","Refreshed Camera List","Refreshed Camera List","Refreshed Camera List","Perbarui Daftar Kamera","Elenco Telecamere Aggiornate","Refreshed Camera List","Refreshed Camera List","Refreshed Camera List",wefweshed,"Refreshed Camera List","Refreshed Camera List","Recarregar lista de câmeras","Refreshed Camera List","Refreshed Camera List","Список камер обновлен","Refreshed Camera List","Lista de cámaras actualizada","Uppdatera Kamera Lista","Yenilenmiş Kamera Listesi","Refreshed Camera List","Refreshed Camera List"
en-us.json,"""info.ETVRConnected"""," -> info.ETVRConnected","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on",ETVR串行追踪设备已连接在,"ETVR 序列埠追蹤裝置已連線至","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Seriële Tracker aangesloten op","ETVR Serial Tracker device connected to","ETVR Serial Tracker device connected on","Appareil de suivi ETVR connecté","ETVR serielles Tracker-Gerät angeschlossen an","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","Perangkat ETVR Serial Tracker terhubung dengan","Dispositivo di tracciamento seriale ETVR è connesso su","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Sewial Twacker dewice connectwed on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","Устройство ETVR Serial Tracker подключено на","ETVR Serial Tracker device connected on","Dispositivo ETVR Serial Tracker conectado en","ETVR Serial Spårare kopplad till","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on","ETVR Serial Tracker device connected on"
en-us.json,"""info.ETVRFailiure"""," -> info.ETVRFailiure","Failed to connect on","Failed to connect on","Failed to connect on","Failed to connect on",无法连接到,連線失敗於,"Failed to connect on","Failed to connect on","Kon geen verbinding maken op","Failed to connect to","Failed to connect on","Erreur de connexion","Verbindung konnte nicht hergestellt werden an","Failed to connect on","Failed to connect on","Failed to connect on","Gagal mengkoneksi ke","Connessione non riuscita su","Failed to connect on","Failed to connect on","Failed to connect on","Fwailed to connect on","Failed to connect on","Nie udało się połączyć na","Failed to connect on","Failed to connect on","Failed to connect on","Не удалось подключить на","Failed to connect on","Error al conectar en","Misslyckades att koppla till","Failed to connect on","Failed to connect on","Failed to connect on"
en-us.json,"""info.enterCaptureOne"""," -> info.enterCaptureOne","Capture source","Capture source","Capture source","Capture source",捕获源,擷取來源,"Capture source","Capture source","Opname bron","Capture source","Capture source","Source de capture",Aufnahmequelle,"Capture source","Capture source","Capture source","Merekam sumber","Acquisisci sorgente","Capture source","Capture source","Capture source","Captuwe souwce","Capture source","Źródło przechwytywania","Capture source","Capture source","Capture source","Источник захвата","Capture source","Fuente de captura",Avläsningskälla,"Capture source","Capture source","Capture source"
en-us.json,"""info.enterCaptureTwo"""," -> info.enterCaptureTwo","not found, retrying...","not found, retrying...","not found, retrying...","not found, retrying...",未找到，正在重试,找不到，重新嘗試中...,"not found, retrying...","not found, retrying...","niet gevonden, opnieuw aan het proberen...","not found, retrying...","not found, retrying...","non trouvé, nouvelle tentative...","nicht gefunden, erneuter Versuch...","not found, retrying...","not found, retrying...","not found, retrying...","tidak ditemukan, coba lagi...","non trovato, riprovando...","not found, retrying...","not found, retrying...","not found, retrying...","not fwound, retrwing UnU...","not found, retrying...",,"not found, retrying...","not found, retrying...","not found, retrying...","не найден, повторная попытка...","not found, retrying...","no encontrada, reintentando...","hittades ej, försöker igen...","not found, retrying...","not found, retrying...","not found, retrying..."
en-us.json,"""info.exitCaptureThread"""," -> info.exitCaptureThread","Exiting capture thread","Exiting capture thread","Exiting capture thread","Exiting capture thread",退出捕获线程,正在結束擷取執行緒,"Exiting capture thread","Exiting capture thread","Opname-thread verlaten","Exiting capture thread","Exiting capture thread","Sortie du thread de capture","Aufnahme-Thread wird verlassen","Exiting capture thread","Exiting capture thread","Exiting capture thread","Keluar dari mode merekam","Uscita dal thread di acquisizione","Exiting capture thread","Exiting capture thread","Exiting capture thread","Qwiting captuwe thwead","Exiting capture thread","Exiting capture thread","Exiting capture thread","Exiting capture thread","Exiting capture thread","Завершение потока захвата","Exiting capture thread","Saliendo del hilo de captura","Avslutar avläsningstråd","Exiting capture thread","Exiting capture thread","Exiting capture thread"
en-us.json,"""info.exitTrackingThread"""," -> info.exitTrackingThread","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread",退出追踪线程,正在結束追蹤執行緒,"Exiting tracking thread","Exiting tracking thread","Tracking-thread verlaten","Exiting tracking thread","Exiting tracking thread","Sortie du fil de suivi","Tracking-Thread wird verlassen","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Keluar dari mode melacak","Uscita dal thread di tracciamento","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Qwiting twacking thread","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread","Завершение потока отслеживания","Exiting tracking thread","Saliendo del hilo de seguimiento","Avslutar spårningstråd","Exiting tracking thread","Exiting tracking thread","Exiting tracking thread"
en-us.json,"""info.serialCapture"""," -> info.serialCapture","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture",读取串行图片失败,無法取得序列埠圖片,"Failed to get serial picture","Failed to get serial picture","Kon geen serieel beeld krijgen","Failed to get serial picture","Failed to get serial picture","Échec de l'obtention de l'image source","Serielles Bild konnte nicht abgerufen werden","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture","Gagal mendapatkan serial gambar","Recupero dell'immagine da seriale non riuscito","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture","fawled to gwet seiewal pictower 3:","Failed to get serial piccure, matey!","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture","Не удалось получить последовательное изображение","Failed to get serial picture","Error al obtener imagen en serie","Misslyckades att få serial bild","Failed to get serial picture","Failed to get serial picture","Failed to get serial picture"
en-us.json,"""log.info"""," -> log.info",INFO,INFO,INFO,INFO,信息,資訊,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INFO,INWO,INFO,Informacje,INFO,INFO,INFO,ИНФО,INFO,INFO,INFO,INFO,INFO,INFO
en-us.json,"""log.warn"""," -> log.warn",WARN,WARN,WARN,WARN,警告,警告,WARN,WARN,WAARSCHUW,WARN,WARN,AVERTISSEMENT,WARNUNG,WARN,WARN,WARN,WARN,AVVISO,WARN,WARN,WARN,WAWM,WARN,UWAGA,WARN,WARN,WARN,ПРЕДУПРЕЖДЕНИЕ,WARN,ADVERTENCIA,VARNING,WARN,WARN,WARN
en-us.json,"""log.error"""," -> log.error",ERROR,ERROR,ERROR,ERROR,错误,錯誤,ERROR,ERROR,ERROR,ERROR,ERROR,ERREUR,FEHLER,ERROR,ERROR,ERROR,Kesalahan,ERRORE,ERROR,ERROR,ERROR,EWWOR,ERROR,ERROR,ERROR,ERROR,ERROR,ОШИБКА,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
en-us.json,"""algorithm.header"""," -> algorithm.header","Model Settings","Model Settings","Model Settings","Model Settings",模型设置,演算法設定,"Model Settings","Model Settings","Model Instellingen","Model Settings","Model Settings","Paramètres du modèle",Modelleinstellungen,"Model Settings","Model Settings","Model Settings","Pengaturan Model","Impostazioni Modello","Model Settings","Model Settings","Model Settings","modew settings :3","Treasure Map Settings","Ustawienia modelu","Model Settings","Model Settings","Model Settings","Настройки модели","Model Settings","Configuración del Modelo","Modell Inställningar","Model Settings","Model Settings","Model Settings"
en-us.json,"""algorithm.modelFile"""," -> algorithm.modelFile","Model file","Model file","Model file","Model file",模型列表,模型檔案,"Model file","Model file","Model bestand","Model file","Model file","Fichier du modèle",Modelldatei,"Model file","Model file","Model file","File Model","File del modello","Model file","Model file","Model file","modew fiwe OwO","Treasure map file","Plik modelu","Model file","Model file","Model file","Файл модели","Model file","Archivo del modelo","Modell fil","Model file","Model file","Model file"
